addr,age,company,edu,link,money,title
北京-海淀区,3-5年,滴滴,本科及以上,https://www.liepin.com/job/1944343437.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=0,30-45k·15薪,TA（地图渲染方向）
广州-海珠区,1-3年,牧今科技(广州)有限责任公司,本科及以上,https://www.liepin.com/job/1926194519.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=1,20-30k,软件工程师
北京-东城区,5-10年,Zuora,统招本科,https://www.liepin.com/job/1943205615.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=2,20-40k·13薪,高级数据开发工程师
上海,1-3年,上海灯冉实业有限公司,本科及以上,https://www.liepin.com/job/1943342499.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=3,15-25k·13薪,BI工程师
上海-长宁区,1-3年,上海宾孚数字科技集团有限公司,大专及以上,https://www.liepin.com/job/1944074827.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=4,10-15k,Python后端工程师
南京-秦淮区,一年以下,联蔚数科,本科及以上,https://www.liepin.com/job/1944581013.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=5,8-12k,Java开发/前端开发/软件测试
拉萨,3-5年,北京同道英语有限公司,本科及以上,https://www.liepin.com/job/1943316409.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=6,13-14k,python
上海,1-3年,快仓智能,本科及以上,https://www.liepin.com/job/1941656063.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=7,10-20k,Python 工程师 (MJ000040)
南京,3-5年,鼎阳科技,大专及以上,https://www.liepin.com/job/1943331857.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=8,8-13k·14薪,python开发工程师
上海,1-3年,小i机器人,统招本科,https://www.liepin.com/job/1942358839.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=9,12-18k,python开发工程师
北京-海淀区,3-5年,麒麟软件有限公司,统招本科,https://www.liepin.com/job/1942082299.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=10,15-25k,研发工程师 python
杭州-西湖区,经验不限,浙商期货,统招本科,https://www.liepin.com/job/1936320489.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=11,15-30k,python工程师（开发部）
苏州-工业园区,经验不限,某互联网企业,学历不限,https://www.liepin.com/a/31689223.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=12,11-20k·13薪,python研发工程师
苏州,3-5年,知名互联网公司,大专及以上,https://www.liepin.com/a/31687871.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=13,10-15k·13薪,Python研发工程师
北京-朝阳区,经验不限,某知名外企,大专及以上,https://www.liepin.com/a/31641909.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=14,25-40k·14薪,测试开发-python-外企Pega-望京
上海-长宁区,5-10年,某能源公司,统招本科,https://www.liepin.com/a/31460309.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=15,15-25k·13薪,python开发工程师
上海,3-5年,普华永道信息技术,统招本科,https://www.liepin.com/job/1944375835.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=16,15-25k·13薪,Senior Python Engineer
杭州-西湖区,1-3年,柏科数据,本科及以上,https://www.liepin.com/job/1944373121.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=17,10-15k,python工程师
芜湖,经验不限,芜湖江城大数据技术有限公司,学历不限,https://www.liepin.com/job/1944330341.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=18,7-8k,python爬虫工程师
西安-雁塔区,3-5年,ALTRAN,统招本科,https://www.liepin.com/job/1943888049.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=19,15-20k·13薪,python开发工程师（英文读写）
杭州,1-3年,杭州新东方进修学校,大专及以上,https://www.liepin.com/job/1943351413.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=20,15-20k,课程设计-python
广州-黄埔区,3-5年,广州好推网络科技有限公司,统招本科,https://www.liepin.com/job/1943181569.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=21,13-25k·13薪,Python量化开发
深圳,1-3年,深圳市万邑通信息科技有限公司,本科及以上,https://www.liepin.com/job/1943039689.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=22,15-25k·13薪,Python开发工程师
苏州-工业园区,3-5年,苏州珂晶达电子有限公司,本科及以上,https://www.liepin.com/job/1942437513.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=23,25-45k,Python后端开发高级工程师
苏州-工业园区,1-3年,苏州珂晶达电子有限公司,大专及以上,https://www.liepin.com/job/1941472131.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=24,12-25k·13薪,python后端开发工程师
杭州-余杭区,3-5年,雪浪云,硕士及以上,https://www.liepin.com/job/1940568965.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=25,18-26k·14薪,高级python开发
无锡-滨湖区,3-5年,雪浪云,硕士及以上,https://www.liepin.com/job/1940568781.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=26,18-26k·14薪,高级python开发
上海-徐汇区,3-5年,雪浪云,硕士及以上,https://www.liepin.com/job/1940568587.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=27,18-26k·14薪,高级python开发
苏州-昆山,1-3年,液滴逻辑,统招本科,https://www.liepin.com/job/1940194827.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=28,10-20k,python工程师
南京-栖霞区,1-3年,鼎阳科技,本科及以上,https://www.liepin.com/job/1939030577.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=29,8-14k,python开发工程师
深圳,3-5年,深圳市万邑通信息科技有限公司,统招本科,https://www.liepin.com/job/1938382965.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=30,15-25k·14薪,python开发工程师
上海,经验不限,上海海宇,统招本科,https://www.liepin.com/job/1935396597.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=31,12-30k·13薪,python后端开发工程师
上海-闵行区,1-3年,脉景(杭州)健康管理有限公司,统招本科,https://www.liepin.com/job/1932939775.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=32,12-20k·14薪,python后端开发工程师
上海,5-10年,圆通,本科及以上,https://www.liepin.com/job/1926668843.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=33,15-25k,资深python开发工程师
北京-朝阳区,5-10年,某大型汽车生产公司,学历不限,https://www.liepin.com/a/31437917.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=34,40-70k·15薪,控制规划/定位/感知算法-C++/Python
上海-浦东新区,5-10年,某知名AAA级券商,本科及以上,https://www.liepin.com/a/31288935.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=35,25-50k·15薪,高级Python开发工程师-AAA级券商
上海,经验不限,某知名上市公司,统招本科,https://www.liepin.com/a/31236673.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=36,30-50k·15薪,python开发工程师
上海,3-5年,某知名公司,统招本科,https://www.liepin.com/a/31236223.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=37,17-30k·14薪,Python开发(数据工程方向)
上海-浦东新区,经验不限,某知名券商,统招本科,https://www.liepin.com/a/31182127.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=38,30-50k·15薪,python开发工程师
上海,经验不限,国内知名券商公司,统招本科,https://www.liepin.com/a/31181135.shtml?d_sfrom=search_prime&d_ckId=a0d0e4a3ea364ae89daa8c899be68e17&d_curPage=0&d_pageSize=40&d_headId=a0d0e4a3ea364ae89daa8c899be68e17&d_posi=39,30-50k·15薪,python开发
addr,age,company,edu,link,money,title
上海-长宁区,1-3年,上海宾孚数字科技集团有限公司,大专及以上,https://www.liepin.com/job/1944074827.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=0,10-15k,Python后端工程师
拉萨,3-5年,北京同道英语有限公司,本科及以上,https://www.liepin.com/job/1943316409.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=1,13-14k,python
深圳-南山区,3-5年,东翼长启科技(重庆)有限公司,本科及以上,https://www.liepin.com/job/1944599313.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=2,20-30k·13薪,AGV软件研发工程师
北京-东城区,5-10年,Zuora,统招本科,https://www.liepin.com/job/1943205615.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=3,20-40k·13薪,高级数据开发工程师
上海,经验不限,威廉欧奈尔信息科技(上海)有限公司,统招本科,https://www.liepin.com/job/1943130209.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=4,3-5k,python实习生
上海,1-3年,上海灯冉实业有限公司,本科及以上,https://www.liepin.com/job/1943342499.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=5,15-25k·13薪,BI工程师
西安-雁塔区,3-5年,西安亨孚防务科技有限责任公司,本科及以上,https://www.liepin.com/job/1943472611.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=6,12-20k·13薪,中级软件工程师
上海,1-3年,快仓智能,本科及以上,https://www.liepin.com/job/1941656063.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=7,10-20k,Python 工程师 (MJ000040)
南京,3-5年,鼎阳科技,大专及以上,https://www.liepin.com/job/1943331857.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=8,8-13k·14薪,python开发工程师
上海,1-3年,小i机器人,统招本科,https://www.liepin.com/job/1942358839.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=9,12-18k,python开发工程师
北京-海淀区,3-5年,麒麟软件有限公司,统招本科,https://www.liepin.com/job/1942082299.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=10,15-25k,研发工程师 python
杭州-西湖区,经验不限,浙商期货,统招本科,https://www.liepin.com/job/1936320489.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=11,15-30k,python工程师（开发部）
苏州-工业园区,经验不限,某互联网企业,学历不限,https://www.liepin.com/a/31689223.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=12,11-20k·13薪,python研发工程师
苏州,3-5年,知名互联网公司,大专及以上,https://www.liepin.com/a/31687871.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=13,10-15k·13薪,Python研发工程师
北京-朝阳区,经验不限,某知名外企,大专及以上,https://www.liepin.com/a/31641909.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=14,25-40k·14薪,测试开发-python-外企Pega-望京
上海-长宁区,5-10年,某能源公司,统招本科,https://www.liepin.com/a/31460309.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=15,15-25k·13薪,python开发工程师
上海,3-5年,普华永道信息技术,统招本科,https://www.liepin.com/job/1944375835.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=16,15-25k·13薪,Senior Python Engineer
杭州-西湖区,1-3年,柏科数据,本科及以上,https://www.liepin.com/job/1944373121.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=17,10-15k,python工程师
芜湖,经验不限,芜湖江城大数据技术有限公司,学历不限,https://www.liepin.com/job/1944330341.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=18,7-8k,python爬虫工程师
西安-雁塔区,3-5年,ALTRAN,统招本科,https://www.liepin.com/job/1943888049.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=19,15-20k·13薪,python开发工程师（英文读写）
杭州,1-3年,杭州新东方进修学校,大专及以上,https://www.liepin.com/job/1943351413.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=20,15-20k,课程设计-python
广州-黄埔区,3-5年,广州好推网络科技有限公司,统招本科,https://www.liepin.com/job/1943181569.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=21,13-25k·13薪,Python量化开发
深圳,1-3年,深圳市万邑通信息科技有限公司,本科及以上,https://www.liepin.com/job/1943039689.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=22,15-25k·13薪,Python开发工程师
苏州-工业园区,3-5年,苏州珂晶达电子有限公司,本科及以上,https://www.liepin.com/job/1942437513.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=23,25-45k,Python后端开发高级工程师
苏州-工业园区,1-3年,苏州珂晶达电子有限公司,大专及以上,https://www.liepin.com/job/1941472131.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=24,12-25k·13薪,python后端开发工程师
杭州-余杭区,3-5年,雪浪云,硕士及以上,https://www.liepin.com/job/1940568965.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=25,18-26k·14薪,高级python开发
无锡-滨湖区,3-5年,雪浪云,硕士及以上,https://www.liepin.com/job/1940568781.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=26,18-26k·14薪,高级python开发
上海-徐汇区,3-5年,雪浪云,硕士及以上,https://www.liepin.com/job/1940568587.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=27,18-26k·14薪,高级python开发
苏州-昆山,1-3年,液滴逻辑,统招本科,https://www.liepin.com/job/1940194827.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=28,10-20k,python工程师
南京-栖霞区,1-3年,鼎阳科技,本科及以上,https://www.liepin.com/job/1939030577.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=29,8-14k,python开发工程师
深圳,3-5年,深圳市万邑通信息科技有限公司,统招本科,https://www.liepin.com/job/1938382965.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=30,15-25k·14薪,python开发工程师
上海,经验不限,上海海宇,统招本科,https://www.liepin.com/job/1935396597.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=31,12-30k·13薪,python后端开发工程师
上海-闵行区,1-3年,脉景(杭州)健康管理有限公司,统招本科,https://www.liepin.com/job/1932939775.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=32,12-20k·14薪,python后端开发工程师
上海,5-10年,圆通,本科及以上,https://www.liepin.com/job/1926668843.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=33,15-25k,资深python开发工程师
北京-朝阳区,5-10年,某大型汽车生产公司,学历不限,https://www.liepin.com/a/31437917.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=34,40-70k·15薪,控制规划/定位/感知算法-C++/Python
上海-浦东新区,5-10年,某知名AAA级券商,本科及以上,https://www.liepin.com/a/31288935.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=35,25-50k·15薪,高级Python开发工程师-AAA级券商
上海,经验不限,某知名上市公司,统招本科,https://www.liepin.com/a/31236673.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=36,30-50k·15薪,python开发工程师
上海,3-5年,某知名公司,统招本科,https://www.liepin.com/a/31236223.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=37,17-30k·14薪,Python开发(数据工程方向)
上海-浦东新区,经验不限,某知名券商,统招本科,https://www.liepin.com/a/31182127.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=38,30-50k·15薪,python开发工程师
上海,经验不限,国内知名券商公司,统招本科,https://www.liepin.com/a/31181135.shtml?d_sfrom=search_prime&d_ckId=7ee2e4e2ad61e75eb2eb872d14506676&d_curPage=0&d_pageSize=40&d_headId=7ee2e4e2ad61e75eb2eb872d14506676&d_posi=39,30-50k·15薪,python开发
