comp_name,job_salary,name,title
美团配送合作商,9000-15000元/月,天河直招美团9K,配菜_打荷
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,配菜_打荷
北京三快到家科技有限公司,7000-13900元/月,不限工龄包吃月1.4w,配菜_打荷
美团配送合作商,7000-12000元/月,美团站点直招8k配车,配菜_打荷
美团配送合作商,9000-15000元/月,海珠急招外卖9K起,配菜_打荷
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,配菜_打荷
美团配送合作商,7000-14000元/月,人和高薪招骑手有车可预支,配菜_打荷
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,配菜_打荷
北京三快到家科技有限公司,5000-10000元/月,荔湾配送员人均8k福利好,洗碗工
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,洗碗工
美团配送合作商,6000-10000元/月,大石站点高薪直招骑手,洗碗工
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,洗碗工
美团配送合作商,8000-10000元/月,海珠区招骑手有车有住宿,洗碗工
北京三快到家科技有限公司,7000-10000元/月,大石东联招买菜骑手,洗碗工
美团配送合作商,9000-15000元/月,海珠急招美团骑手9K起,洗碗工
美团配送合作商,6000-12000元/月,天河送餐员高薪供车住,洗碗工
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,洗碗工
北京三快到家科技有限公司,7000-13000元/月,江南西急招骑手提供车住,洗碗工
美团配送合作商,7000-13000元/月,能吃苦收入一万五骑手,洗碗工
美团配送合作商,8000-10000元/月,8k招聘配送员,洗碗工
美团配送合作商,9000-13000元/月,美团急招骑手0元入职配车,洗碗工
美团配送合作商,7000-10000元/月,嘉禾急招送餐员只限5人,洗碗工
美团配送合作商,10000-15000元/月,天河急招美团骑手10K,洗碗工
北京三快到家科技有限公司,7000-13000元/月,钟村站点直招骑手提供车住,洗碗工
美团配送合作商,8000-10000元/月,番禺区急招美团送餐员配车,洗碗工
美团配送合作商,8000-15000元/月,太古汇站点直招骑手9元单,洗碗工
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,洗碗工
美团配送合作商,7000-10000元/月,越秀急招骑手首月10块单,洗碗工
美团配送合作商,8000-16000元/月,骑手电驴骑得好轻松一万五,洗碗工
美团配送合作商,8000-13000元/月,招会打王者的送餐员,洗碗工
美团配送合作商,6000-11000元/月,大石招骑手有车单多可预支,洗碗工
美团配送合作商,7000-14000元/月,沙园高薪招送餐员可供车住,洗碗工
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,洗碗工
美团配送合作商,7000-10000元/月,荔湾区配送员、骑手,洗碗工
美团配送合作商,6999-12999元/月,三元里招骑手会王者优先录,洗碗工
美团配送合作商,8000-12000元/月,轻松简单高提成/骑手,洗碗工
美团配送合作商,面议,负债月光美团送餐奔小康,洗碗工
北京三快到家科技有限公司,7000-14000元/月,大石驻点骑手配送难度低,洗碗工
美团配送合作商,8000-12000元/月,大量直招送餐员0元入职,洗碗工
美团配送合作商,8888-9999元/月,珠江新城骑手9K+车住,面点师
美团配送合作商,6000-12000元/月,江南西招骑手兵强马壮,面点师
美团配送合作商,8000-12000元/月,招会打王者的外卖骑手,面点师
美团配送合作商,8888-9999元/月,早起进厂不如十点配送,面点师
美团配送合作商,8888-9999元/月,逍遥自在10/单骑手,面点师
美团配送合作商,8000-15000元/月,骑手能吃苦+月入一万五,面点师
美团配送合作商,8000-15000元/月,拎包入职骑手+配车+爆单,面点师
美团配送合作商,7000-14000元/月,人和招会玩王者的骑手有车,面点师
美团配送合作商,8000-12000元/月,吃得苦中苦工资一万五,面点师
北京三快到家科技有限公司,8000-15000元/月,会打王者的送餐员提供车,面点师
美团配送合作商,8000-13000元/月,当天上岗配送员+0元入职,面点师
美团配送合作商,8000-12000元/月,外卖送餐员提供住提供车,面点师
美团配送合作商,8000-9999元/月,送餐员/有车/8K+太和,面点师
美团配送合作商,8000-16000元/月,三元里单多好跑可供车包住,面点师
美团配送合作商,8000-12000元/月,新手小白8-10配车,面点师
北京三快到家科技有限公司,6000-12000元/月,海珠区包住,面点师
北京三快到家科技有限公司,8000-15000元/月,不限工龄配车月1.5w,面点师
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,面点师
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,面点师
美团配送合作商,6000-12000元/月,番禺高薪骑手送餐员,面点师
美团配送合作商,9000-15000元/月,天河直招美团9K,面点师
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,面点师
美团配送合作商,8000-15000元/月,骑手有车住+可预支+补贴,面点师
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,面点师
美团配送合作商,7000-14000元/月,人和高薪招骑手有车可预支,面点师
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,面点师
美团配送合作商,7000-12000元/月,美团站点直招8k配车,面点师
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,面点师
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,面点师
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,面点师
北京三快到家科技有限公司,7000-10000元/月,大石东联招买菜骑手,面点师
美团配送合作商,9000-15000元/月,海珠急招美团骑手9K起,面点师
美团配送合作商,6000-11000元/月,大石招骑手有车单多可预支,面点师
美团配送合作商,8888-9999元/月,珠江新城骑手9K+车住,迎宾_接待
美团配送合作商,6000-12000元/月,江南西招骑手兵强马壮,迎宾_接待
美团配送合作商,8888-9999元/月,早起进厂不如十点配送,迎宾_接待
美团配送合作商,8000-12000元/月,招会打王者的外卖骑手,迎宾_接待
美团配送合作商,8888-9999元/月,逍遥自在10/单骑手,迎宾_接待
美团配送合作商,8000-15000元/月,骑手能吃苦+月入一万五,迎宾_接待
美团配送合作商,7000-14000元/月,人和招会玩王者的骑手有车,迎宾_接待
美团配送合作商,8000-15000元/月,拎包入职骑手+配车+爆单,迎宾_接待
美团配送合作商,8000-9999元/月,送餐员/有车/8K+太和,迎宾_接待
美团配送合作商,8000-15000元/月,时间自由配送骑手月入过W,迎宾_接待
美团配送合作商,8000-16000元/月,三元里单多好跑可供车包住,迎宾_接待
北京三快到家科技有限公司,8000-15000元/月,会打王者的送餐员提供车,迎宾_接待
美团配送合作商,9000-14000元/月,江南西直招美团骑手9K,迎宾_接待
北京三快到家科技有限公司,8000-15000元/月,不限工龄包住月1.5w,迎宾_接待
美团配送合作商,8000-12000元/月,吃得苦中苦工资一万五,迎宾_接待
美团配送合作商,10000-15000元/月,海珠急招美团骑手10K,迎宾_接待
美团配送合作商,8000-12000元/月,外卖送餐员提供住提供车,迎宾_接待
美团配送合作商,8000-13000元/月,当天上岗配送员+0元入职,迎宾_接待
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,迎宾_接待
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,迎宾_接待
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,迎宾_接待
美团配送合作商,7000-12000元/月,美团站点直招8k配车,迎宾_接待
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,迎宾_接待
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,迎宾_接待
美团配送合作商,9000-15000元/月,海珠急招外卖9K起,迎宾_接待
北京三快到家科技有限公司,7000-13900元/月,生活压抑送餐有趣月过万,迎宾_接待
美团配送合作商,7000-14000元/月,人和高薪招骑手有车可预支,迎宾_接待
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,迎宾_接待
美团配送合作商,7000-12000元/月,美团配送员单价高,大堂经理_领班
美团配送合作商,8000-10000元/月,广州直聘美团送餐员,大堂经理_领班
美团配送合作商,8000-13000元/月,大石招骑手包车单多好跑,大堂经理_领班
美团配送合作商,8000-13000元/月,三元里招骑手有车住单多,大堂经理_领班
美团配送合作商,8000-15000元/月,人和招骑手可预支有车单多,大堂经理_领班
北京三快到家科技有限公司,8000-15000元/月,急招送餐员+月入过万,大堂经理_领班
美团配送合作商,面议,负债月光美团送餐奔小康,大堂经理_领班
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,配菜_打荷
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,配菜_打荷
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,配菜_打荷
美团配送合作商,6000-10000元/月,大石站点高薪直招骑手,配菜_打荷
北京三快到家科技有限公司,7000-10000元/月,大石东联招买菜骑手,配菜_打荷
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,配菜_打荷
美团配送合作商,8000-10000元/月,海珠区招骑手有车有住宿,配菜_打荷
美团配送合作商,9000-15000元/月,海珠急招美团骑手9K起,配菜_打荷
美团配送合作商,9000-13000元/月,美团急招骑手0元入职配车,配菜_打荷
美团配送合作商,7000-13000元/月,能吃苦收入一万五骑手,配菜_打荷
北京三快到家科技有限公司,7000-13000元/月,钟村站点直招骑手提供车住,配菜_打荷
美团配送合作商,6000-11000元/月,大石招骑手有车单多可预支,配菜_打荷
北京三快到家科技有限公司,7000-13000元/月,江南西急招骑手提供车住,配菜_打荷
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,配菜_打荷
美团配送合作商,10000-15000元/月,天河急招美团骑手10K,配菜_打荷
美团配送合作商,8000-15000元/月,太古汇站点直招骑手9元单,配菜_打荷
美团配送合作商,6000-12000元/月,天河送餐员高薪供车住,配菜_打荷
美团配送合作商,8000-10000元/月,番禺区急招美团送餐员配车,配菜_打荷
美团配送合作商,6999-12999元/月,三元里招骑手会王者优先录,配菜_打荷
美团配送合作商,8000-16000元/月,骑手电驴骑得好轻松一万五,配菜_打荷
美团配送合作商,7000-14000元/月,沙园高薪招送餐员可供车住,配菜_打荷
美团配送合作商,7000-10000元/月,嘉禾急招送餐员只限5人,配菜_打荷
美团配送合作商,8000-13000元/月,招会打王者的送餐员,配菜_打荷
美团配送合作商,7000-14000元/月,机场路招暑假骑手挑战高薪,配菜_打荷
美团配送合作商,7000-10000元/月,越秀急招骑手首月10块单,配菜_打荷
北京三快到家科技有限公司,7000-14000元/月,大石驻点骑手配送难度低,配菜_打荷
美团配送合作商,7000-14000元/月,大石招骑手有车单多好跑,配菜_打荷
美团配送合作商,8000-13000元/月,三元里招骑手有车住单多,配菜_打荷
美团配送合作商,8000-13000元/月,大石招骑手包车单多好跑,配菜_打荷
北京三快到家科技有限公司,8000-15000元/月,不限工龄包住月1.5w,洗碗工
美团配送合作商,7000-14000元/月,机场路招暑假骑手挑战高薪,洗碗工
美团配送合作商,8000-13000元/月,大石招骑手包车单多好跑,洗碗工
饿了么配送服务商,6000-9000元/月,南沙区送餐员,洗碗工
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,洗碗工
北京三快到家科技有限公司,8000-14000元/月,起薪8000配车,洗碗工
美团配送合作商,8000-12000元/月,各区招送餐员配车+住宿,洗碗工
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,面点师
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,面点师
美团配送合作商,8000-15000元/月,巅峰旺季自由跑单,面点师
北京三快到家科技有限公司,7000-13000元/月,钟村站点直招骑手提供车住,面点师
美团配送合作商,8000-16000元/月,骑手电驴骑得好轻松一万五,面点师
美团配送合作商,8000-10000元/月,海珠区招骑手有车有住宿,面点师
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,面点师
美团配送合作商,6999-12999元/月,三元里招骑手会王者优先录,面点师
美团配送合作商,7000-10000元/月,越秀急招骑手首月10块单,面点师
美团配送合作商,7000-14000元/月,机场路招暑假骑手挑战高薪,面点师
美团配送合作商,7000-10000元/月,嘉禾急招送餐员只限5人,面点师
北京三快到家科技有限公司,8000-13000元/月,送餐员/骑手,面点师
美团配送合作商,7000-10000元/月,急招诚聘嘉禾送餐员只限5,面点师
美团配送合作商,7000-13000元/月,能吃苦收入一万五骑手,面点师
美团配送合作商,8000-13000元/月,三元里招骑手有车住单多,面点师
美团配送合作商,8000-13000元/月,招会打王者的送餐员,面点师
美团配送合作商,7000-14000元/月,大石招骑手有车单多好跑,面点师
美团配送合作商,8000-10000元/月,番禺区急招美团送餐员配车,面点师
美团配送合作商,8000-10000元/月,8k招聘配送员,面点师
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,面点师
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,面点师
北京三快到家科技有限公司,7000-13000元/月,江南西急招骑手提供车住,面点师
美团配送合作商,8000-16000元/月,骑手肯吃苦月入一万五,面点师
美团配送合作商,7999-15666元/月,毕业季招高薪骑手月入过万,面点师
美团配送合作商,8000-15000元/月,天河+急招配送王者月过万,面点师
北京三快到家科技有限公司,8000-15000元/月,不限工龄配车月1.5w,面点师
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,面点师
美团配送合作商,8000-15000元/月,人和招骑手可预支有车单多,面点师
美团配送合作商,8000-12000元/月,大量直招送餐员0元入职,面点师
美团配送合作商,9000-15000元/月,天河直招美团9K,迎宾_接待
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,迎宾_接待
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,迎宾_接待
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,迎宾_接待
美团配送合作商,8000-12000元/月,新手小白8-10配车,迎宾_接待
美团配送合作商,8000-10000元/月,番禺区急招美团送餐员配车,迎宾_接待
美团配送合作商,6000-11000元/月,大石招骑手有车单多可预支,迎宾_接待
美团配送合作商,8000-16000元/月,骑手电驴骑得好轻松一万五,迎宾_接待
美团配送合作商,9000-15000元/月,海珠急招美团骑手9K起,迎宾_接待
北京三快到家科技有限公司,7000-10000元/月,大石东联招买菜骑手,迎宾_接待
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,迎宾_接待
美团配送合作商,8000-10000元/月,海珠区招骑手有车有住宿,迎宾_接待
美团配送合作商,7000-10000元/月,嘉禾急招送餐员只限5人,迎宾_接待
北京三快到家科技有限公司,7000-13000元/月,钟村站点直招骑手提供车住,迎宾_接待
美团配送合作商,8000-15000元/月,巅峰旺季自由跑单,迎宾_接待
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,迎宾_接待
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,迎宾_接待
美团配送合作商,8000-13000元/月,三元里招骑手有车住单多,迎宾_接待
美团配送合作商,7000-13000元/月,能吃苦收入一万五骑手,迎宾_接待
美团配送合作商,6000-10000元/月,大石站点高薪直招骑手,迎宾_接待
北京三快到家科技有限公司,7000-13000元/月,江南西急招骑手提供车住,迎宾_接待
美团配送合作商,6000-12000元/月,天河送餐员高薪供车住,迎宾_接待
美团配送合作商,8000-15000元/月,骑手有车住+可预支+补贴,迎宾_接待
美团配送合作商,10000-15000元/月,天河急招美团骑手10K,迎宾_接待
美团配送合作商,7000-10000元/月,越秀急招骑手首月10块单,迎宾_接待
美团配送合作商,6999-12999元/月,三元里招骑手会王者优先录,迎宾_接待
美团配送合作商,8000-10000元/月,高薪配送员可就近安排,迎宾_接待
美团配送合作商,7000-14000元/月,海珠招骑手有车住宿单多,迎宾_接待
美团配送合作商,8000-16000元/月,骑手肯吃苦月入一万五,迎宾_接待
美团配送合作商,8000-12000元/月,大量直招送餐员0元入职,配菜_打荷
美团配送合作商,8000-12000元/月,轻松简单高提成/骑手,配菜_打荷
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,配菜_打荷
美团配送合作商,8000-15000元/月,人和招骑手可预支有车单多,配菜_打荷
饿了么配送服务商,6000-9000元/月,饿了么增城东区招骑手高薪,配菜_打荷
美团配送合作商,8000-10000元/月,急招黄衣骑手高价送餐员,配菜_打荷
美团配送合作商,7000-14000元/月,招送餐员会玩王者优先录用,配菜_打荷
美团配送合作商,7000-14000元/月,大石站点直招单多好送,面点师
美团配送合作商,7000-14000元/月,海珠招骑手有车住宿单多,面点师
美团配送合作商,6000-11000元/月,番禺专送骑手招募,面点师
北京三快到家科技有限公司,7000-14000元/月,大石驻点骑手配送难度低,面点师
美团配送合作商,8000-12000元/月,美团骑士新手供车住,面点师
美团配送合作商,7000-13000元/月,爆单站送餐员有车住+预支,面点师
美团配送合作商,7000-12000元/月,美团配送员单价高,面点师
美团配送合作商,7000-14000元/月,大石招骑手有车单多好跑,迎宾_接待
美团配送合作商,8000-13000元/月,招会打王者的送餐员,迎宾_接待
美团配送合作商,7000-13000元/月,爆单站送餐员有车住+预支,迎宾_接待
美团配送合作商,7000-10000元/月,急招诚聘嘉禾送餐员只限5,迎宾_接待
美团配送合作商,7999-15666元/月,毕业季招高薪骑手月入过万,迎宾_接待
美团配送合作商,8000-15000元/月,人和招骑手可预支有车单多,迎宾_接待
美团配送合作商,8000-15000元/月,天河+急招配送王者月过万,迎宾_接待
美团配送合作商,面议,负债月光美团送餐奔小康,迎宾_接待
美团配送合作商,8000-13000元/月,大石招骑手包车单多好跑,迎宾_接待
北京三快到家科技有限公司,8000-13000元/月,广州急招送餐员+8K起,迎宾_接待
美团配送合作商,7000-12000元/月,美团配送员单价高,迎宾_接待
北京三快到家科技有限公司,7000-14000元/月,大石驻点骑手配送难度低,迎宾_接待
comp_name,job_salary,name,title
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,咖啡师
美团配送合作商,8888-9999元/月,珠江新城骑手9K+车住,咖啡师
美团配送合作商,6000-12000元/月,江南西招骑手兵强马壮,咖啡师
美团配送合作商,8000-12000元/月,招会打王者的外卖骑手,咖啡师
美团配送合作商,8888-9999元/月,早起进厂不如十点配送,咖啡师
美团配送合作商,8888-9999元/月,逍遥自在10/单骑手,咖啡师
美团配送合作商,8000-15000元/月,骑手能吃苦+月入一万五,咖啡师
美团配送合作商,8000-15000元/月,拎包入职骑手+配车+爆单,咖啡师
美团配送合作商,7000-14000元/月,人和招会玩王者的骑手有车,咖啡师
北京三快到家科技有限公司,8000-15000元/月,会打王者的送餐员提供车,咖啡师
美团配送合作商,8000-9999元/月,送餐员/有车/8K+太和,咖啡师
美团配送合作商,8000-12000元/月,吃得苦中苦工资一万五,咖啡师
美团配送合作商,8000-16000元/月,三元里单多好跑可供车包住,咖啡师
美团配送合作商,8000-12000元/月,外卖送餐员提供住提供车,咖啡师
美团配送合作商,8000-13000元/月,当天上岗配送员+0元入职,咖啡师
北京三快到家科技有限公司,8000-15000元/月,不限工龄配车月1.5w,咖啡师
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,咖啡师
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,咖啡师
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,咖啡师
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,咖啡师
美团配送合作商,8000-12000元/月,工作难找配送员过万有车住,咖啡师
美团配送合作商,6000-12000元/月,番禺高薪骑手送餐员,咖啡师
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,咖啡师
美团配送合作商,7000-14000元/月,人和高薪招骑手有车可预支,咖啡师
美团配送合作商,8000-12000元/月,新手小白8-10配车,咖啡师
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,咖啡师
北京三快到家科技有限公司,7000-10000元/月,大石东联招买菜骑手,咖啡师
美团配送合作商,7000-12000元/月,美团站点直招8k配车,咖啡师
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,咖啡师
美团配送合作商,8000-15000元/月,巅峰旺季自由跑单,咖啡师
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,大堂经理_领班
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,咖啡师
美团配送合作商,6000-11000元/月,大石招骑手有车单多可预支,咖啡师
美团配送合作商,9000-15000元/月,海珠急招美团骑手9K起,咖啡师
美团配送合作商,7000-14000元/月,机场路招骑手有车单多好跑,咖啡师
美团配送合作商,7000-14000元/月,大石招骑手有车单多可预支,咖啡师
美团配送合作商,8000-15000元/月,骑手有车住+可预支+补贴,咖啡师
美团配送合作商,8000-16000元/月,旺季做骑手摸鱼轻松也过万,咖啡师
北京三快到家科技有限公司,7000-13000元/月,钟村站点直招骑手提供车住,咖啡师
